0.0,L32,L
0.1,H29,H
0.2,M23SA,F
0.3,H06,H
0.4,M29AN,F
1.0,L27,L
1.1,F16HA,F
1.2,H28,H
1.3,L31,L
1.4,H38,H
2.0,H21,H
2.1,F31HA,F
2.2,L06,L
2.3,H23,H
2.4,L23,L
3.0,L20,L
3.1,H37,H
3.2,F05AN,F
3.3,L05,L
3.4,M23AN,F
4.0,M29HA,F
4.1,H22,H
4.2,L04,L
4.3,H39,H
4.4,L15,L
5.0,H35,H
5.1,F28NE,F
5.2,L07,L
5.3,F28SA,F
5.4,H17,H
6.0,M13HA,F
6.1,L30,L
6.2,H02,H
6.3,L13,L
6.4,H12,H
7.0,H26,H
7.1,L33,L
7.2,F31SA,F
7.3,L21,L
7.4,F31AN,F
8.0,M29NE,F
8.1,H16,H
8.2,L02,L
8.3,M23DI,F
8.4,H04,H
9.0,H09,H
9.1,M10DI,F
9.2,L39,L
9.3,H24,H
9.4,L34,L
10.0,H10,H
10.1,L18,L
10.2,F05DI,F
10.3,H30,H
10.4,L28,L
11.0,L36,L
11.1,F05NE,F
11.2,H32,H
11.3,M23NE,F
11.4,L29,L
12.0,H25,H
12.1,M10SA,F
12.2,L40,L
12.3,M10AN,F
12.4,H18,H
13.0,M13AN,F
13.1,L03,L
13.2,H33,H
13.3,L08,L
13.4,M29DI,F
14.0,H14,H
14.1,M13SA,F
14.2,L14,L
14.3,F31NE,F
14.4,L35,L
15.0,M10HA,F
15.1,H31,H
15.2,L16,L
15.3,H27,H
15.4,L10,L
16.0,H01,H
16.1,F28DI,F
16.2,L19,L
16.3,M10NE,F
16.4,H13,H
17.0,H34,H
17.1,M23HA,F
17.2,L11,L
17.3,H19,H
17.4,L09,L
18.0,F05SA,F
18.1,L25,L
18.2,H07,H
18.3,F16SA,F
18.4,H20,H
19.0,L26,L
19.1,F16AN,F
19.2,H03,H
19.3,L17,L
19.4,M13DI,F
20.0,L24,L
20.1,F31DI,F
20.2,H11,H
20.3,F28AN,F
20.4,H40,H
21.0,F05HA,F
21.1,L37,L
21.2,H36,H
21.3,M29SA,F
21.4,L01,L
22.0,L12,L
22.1,H05,H
22.2,F16DI,F
22.3,H08,H
22.4,M13NE,F
23.0,L38,L
23.1,H15,H
23.2,F28HA,F
23.3,L22,L
23.4,F16NE,F
